cellContent,cellId,cellIndex,cellType,directory,duration,emailAddress,event,eventId,executionCount,measurement,notebook,notebookPath,resolvedBy,result,sessionId,success,table,teamName,time,userName
,,,,,,stud1@example.com,error_resolved,f1d831a9-15ed-4c9c-8b09-b2e6dbca0c8b,,student_progress,,,instructor,_result,dashboard-resolve-stud1@example.com,True,0,,2025-08-30T05:04:18.572618+00:00,stud1
,,,,,,student001@example.com,error_resolved,8bd9376a-715d-4769-b13e-96947fa8476d,,student_progress,,,instructor,_result,dashboard-resolve-student001@example.com,True,1,,2025-08-30T05:03:29.714803+00:00,student001
,,,,,,student001@example.com,error_resolved,648f6c36-d41d-4c0a-afe0-313913b473bf,,student_progress,,,instructor,_result,dashboard-resolve-student001@example.com,True,1,,2025-08-30T10:41:12.534218+00:00,student001
,,,,,,student001@example.com,error_resolved,342a3c51-2ec4-4fee-8fd8-613b9792e410,,student_progress,,,instructor,_result,dashboard-resolve-student001@example.com,True,1,,2025-08-30T10:41:49.615655+00:00,student001
,,,,,,student001@example.com,error_resolved,f1afb660-4d36-4a40-8ba2-c61923ad5611,,student_progress,,,instructor,_result,dashboard-resolve-student001@example.com,True,1,,2025-08-30T10:42:16.460216+00:00,student001
,,,,,,student001@example.com,error_resolved,640dc335-9cb4-42e4-bf91-37f895040167,,student_progress,,,instructor,_result,dashboard-resolve-student001@example.com,True,1,,2025-08-30T10:42:58.895240+00:00,student001
,,,,,,student001@example.com,error_resolved,1e0ece3c-b8ae-44f7-a0db-56831bf0ff81,,student_progress,,,instructor,_result,dashboard-resolve-student001@example.com,True,1,,2025-08-30T23:21:06.799289+00:00,student001
,,,,,,student001@example.com,error_resolved,18a77e38-a31c-4e09-b452-de54bfa7ef5e,,student_progress,,,instructor,_result,dashboard-resolve-student001@example.com,True,1,,2025-08-31T11:42:21.689744+00:00,student001
,,,,,,student001@example.com,help_stop,5b1271cb-7068-48ef-a71f-21ec5c79da0f,,student_progress,,,,_result,dashboard-dismiss-student001@example.com,True,2,,2025-08-25T23:49:07.197957+00:00,student001
,,,,,,student001@example.com,help_stop,bd68cf73-e477-474c-8856-807a65ebfb3e,,student_progress,,,,_result,dashboard-dismiss-student001@example.com,True,2,,2025-08-26T08:51:56.963841+00:00,student001
,,,,,,student001@example.com,help_stop,151f1b65-4301-41b3-967f-4a7ff22bc2f3,,student_progress,,,,_result,dashboard-dismiss-student001@example.com,True,2,,2025-08-27T12:29:14.494481+00:00,student001
,,,,,,student001@example.com,help_stop,3b779baa-7a87-4687-841e-a75ab1747b2b,,student_progress,,,,_result,dashboard-dismiss-student001@example.com,True,2,,2025-08-27T12:29:52.368247+00:00,student001
,,,,,,student001@example.com,help_stop,8fd23640-d9a2-4f4c-b72c-8701cd416ece,,student_progress,,,,_result,dashboard-dismiss-student001@example.com,True,2,,2025-08-30T05:16:48.392519+00:00,student001
